姓名,属性,弱点,身高,体重,特征,分类,图鉴信息,附加信息,
顽皮雷弹,电,地面,1.2,66.6,隔音透过,球寶可夢,雖然儲存的電能越多，移動的速度也會變得越快，但同時也會變得更容易爆炸。,遮蔽声音，不受到声音招式的攻击。特静电身上带有静电，有时会令接触到的对手麻痺。,
蛋蛋,草超能力,火冰毒飞行虫幽灵恶,0.4,2.5,叶绿素,蛋寶可夢,６隻合起來算是１隻。就算發生了什麼事導致少了１隻，隔天也一定會變回６隻。,天气为晴朗时，速度会提高。,
椰蛋树,草超能力,火冰毒飞行虫幽灵恶,2,120,叶绿素,椰子寶可夢,會用精神力量迎戰敵人。３個頭會分別發出念力，所以威力也會變成３倍。,天气为晴朗时，速度会提高。,
卡拉卡拉,地面,水草冰,0.4,6.5,坚硬脑袋,孤獨寶可夢,因為思念死去的母親，會在夜裡大聲哭叫，導致自己被天敵禿鷹娜發現。,即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特避雷针将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。,
嘎啦嘎啦,地面,水草冰,1,45,坚硬脑袋,愛骨寶可夢,會投擲骨頭擊落禿鷹娜。人們認為牠這麼做是為了幫母親報仇。,即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特避雷针将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。,
飞腿郎,格斗,飞行超能力妖精,1.5,49.8,柔软,踢腿寶可夢,擁有卓越的平衡感。無論處於什麼姿勢都可以連續施展踢擊的厲害角色。,因为身体柔软，不会陷入麻痺状态。特捨身会让自己因反作用力而受伤的招式威力会提高。,
快拳郎,格斗,飞行超能力妖精,1.4,50.2,锐利目光,拳擊寶可夢,使出的拳擊能劈開空氣。出拳的速度極為迅速，即便只是擦過都會造成灼傷。,靠着锐利的目光，命中率不会被降低。特铁拳使用到拳头的招式威力会提高。,
大舌头,一般,格斗,1.2,65.5,我行我素,舔舔寶可夢,不管什麼東西都會用長長的舌頭去舔舔看，被舔到的部位如果放著不管就會發炎。,因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。,
瓦斯弹,毒,地面超能力,0.6,1,飘浮,毒氣寶可夢,身體裡充滿了毒氣。會為了尋求廚餘垃圾的腐敗氣味而來到垃圾場。,从地面浮起，从而不会受到地面属招式的攻击。特化学变化气体当场上有特是化学变化气体的,
双弹瓦斯,毒,地面超能力,1.2,9.5,飘浮,毒氣寶可夢,用２個身體來混合瓦斯。在往昔的伽勒爾似乎到處都能見到牠們的身影。,从地面浮起，从而不会受到地面属招式的攻击。特化学变化气体当场上有特是化学变化气体的,
独角犀牛,地面岩石,水草冰格斗地面钢,1,115,避雷针,尖尖寶可夢,頭腦很差但力氣很大，只要撞擊就能把高樓大廈撞得粉粹。,将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。,
鑽角犀兽,地面岩石,水草冰格斗地面钢,1.9,120,避雷针,鑽錐寶可夢,進化後變得只用後腳就能站立。如果被牠的角刺中，就連岩石也會被開出洞來。,将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。,
吉利蛋,一般,格斗,1.1,34.6,自然回復,蛋寶可夢,心地很善良的寶可夢，會生出營養滿分的蛋分給受傷的寶可夢和人類。,异常状态会在离场后治癒。特天恩受到上天保佑，容易出现招式的追加效果。,
蔓藤怪,草,火冰毒飞行虫,1,35,叶绿素,藤蔓狀寶可夢,被敵人抓住時藤蔓會斷開。因為完全不會痛，所以牠會趁那個空檔逃走。藤蔓在第二天就會重新長好。,天气为晴朗时，速度会提高。特叶子防守天气为晴朗时，不会陷入异常状态。,
袋兽,一般,格斗,2.2,80,早起,親子寶可夢,把自己的孩子放進腹部的袋子裡保護，會毫不留情地狠狠教訓傷害自己孩子的傢伙。,即使陷入睡眠状态，也能以２倍的速度提早醒来。特胆量一般属和格斗属的招式可击中幽灵属,
超级袋兽,一般,格斗,2.2,100,亲子爱,親子寶可夢,沐浴了爆炸性能量的孩子得到了暫時性的成長，母親卻是擔心得不得了。,亲子俩可合计攻击２次。,
墨海马,水,草电,0.4,8,悠游自如,龍寶可夢,吃小蟲子或岩石灘上的苔蘚。海流變快時，為了不讓自己被沖走，會用尾巴纏住岩石或珊瑚。,天气为下雨时，速度会提高。特狙击手击中要害时，威力会进一步提高。,
海刺龙,水,草电,1.2,25,毒刺,龍寶可夢,會潛伏在珊瑚枝的縫隙中睡覺。有時會發生採珊瑚時沒注意到海刺龍而被毒刺扎到的事件。,有时会让接触到自己的对手陷入中毒状态。特狙击手击中要害时，威力会进一步提高。,
角金鱼,水,草电,0.6,15,悠游自如,金魚寶可夢,會優雅地搖擺背鰭、胸鰭和尾鰭，所以被稱為水中的舞者。,天气为下雨时，速度会提高。特水幕将水幕裹在身上，不会陷入灼伤状态。,
金鱼王,水,草电,1.3,39,悠游,金魚寶可夢,到了秋天，體內的脂肪會因為要求偶而增加，體色也會變得非常漂亮。,天气为下雨时，速度会提高。特水幕将水幕裹在身上，不会陷入灼伤状态。,
海星星,水,草电,0.8,34.5,发光,星形寶可夢,在各地都流傳著星星落到海中之後變成了海星星的民間傳說。,透过让周围变亮，变得容易遇见野生的,
寶石海星,水超能力,草电虫幽灵恶,1.1,80,发光,謎寶可夢,閃耀的核心被人們稱為海中寶石。有人把它變成昂貴的飾品，在暗地裡偷偷買賣。,透过让周围变亮，变得容易遇见野生的宝可梦。特性孢子透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。,
魔牆人偶,超能力妖精,毒幽灵钢,54.5,1.3,隔音,屏障寶可夢,有很多學者認為牠大大的手掌是因為要表演默劇而發達起來的。,透过遮蔽声音，不受到声音招式的攻击。特过滤受到效果绝佳的攻击时，可减弱其威力。,
飞天螳螂,虫飞行,火电冰飞行岩石,1.5,56,虫之预感,螳螂寶可夢,會用鋒利的鐮刀割開草叢前進。因為動作實在太快，甚至無法用肉眼看清。,ＨＰ减少的时候，虫属的招式威力会提高。特技术高手可让威力低的招式提高威力来进行攻击。,
迷唇姐,冰超能力,火虫岩石幽灵恶钢,1.4,40.6,迟钝,人形寶可夢,會以獨特的節奏扭動腰部。棲息在阿羅拉的迷唇姐動作更是特別完美無瑕。,感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特预知梦出场时，预见1个对手持有的招式。,
电击兽,电,地面,1.1,30,静电,電擊寶可夢,全身帶著電流，會不斷轉動手臂來充電然後使出拳擊。,身上带有静电，有时会令接触到的对手麻痺。,
鸭嘴火兽,火,水地面岩石,1.3,44.5,火焰之躯,吐火寶可夢,全身都在燃燒，光是呼出的氣息就帶著高溫，打噴嚏時會同時噴出火焰。,有时会让接触到自己的对手陷入灼伤状态。,
凱羅斯,虫,火飞行岩石,1.5,55,怪力鉗,鍬形蟲寶可夢,會和鍬農炮蟲爭奪地盤。不知為何，在阿羅拉這裡，牠和赫拉克羅斯的關係相當不錯。,因为拥有以力量为傲的钳子，不会被对手降低攻击。特沙隐在沙暴中闪避率会提高。,
超級凱羅斯,虫飞行,火电冰飞行,1.7,59,飛行皮膚,鍬形蟲寶可夢,超級進化之後變得可以飛行。也許是因為太開心了，牠幾乎不會降落到地上。,因为拥有以力量为傲的钳子，不会被对手降低攻击。特沙隐在沙暴中闪避率会提高。,
肯泰罗,一般,格斗,1.4,88.4,威吓,暴牛寶可夢,鎖定了獵物之後，就會一邊用尾巴抽打身體，一邊筆直地衝向目標。,出场时威吓对手，使其退缩，从而降低对手的攻击。特愤怒穴位要害被击中时会大发雷霆。攻击力会提高到最大。,
鲤鱼王,水,草电,0.9,10,悠游自如,魚寶可夢,沒力量的可憐寶可夢。偶爾跳得比較高時，也只是勉強高過 2 公尺而已。,天气为下雨时，速度会提高。,
暴鲤龙,水飞行,电岩石,6.5,235,威吓,凶惡寶可夢,據說暴鯉龍一旦現身，如果不把周圍的一切都燃燒殆盡，怒火就不會平息。,出场时威吓对手，使其退缩，从而降低对手的攻击。,
超级暴鲤龙,水恶,草电格斗虫妖精,6.5,305,破格,凶惡寶可夢,超級進化對牠的身體造成了負擔。對此感到壓力的牠會更加兇暴地四處大鬧。,可不受特影响，向对手使出招式。,
拉普拉斯,水冰,草电格斗岩石,2.5,220,储水,乘載寶可夢,頭腦聰慧，心地善良的寶可夢。會一邊以優美的聲音歌唱，一邊暢游在大海之上。,受到水属的招式攻击时，不会受到伤害，而是会回復。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
百变怪,一般,格斗,0.3,4,柔软,變身寶可夢,雖然可以變身得很完美，但一旦被逗笑，就會因鬆懈而解除變身。,因为身体柔软，不会陷入麻痺状态。,
伊布,一般,格斗,0.3,6.5,逃跑,進化寶可夢,為了能瞬即適應環境的變化，這種寶可夢蘊含著許多種進化的可能性。,一定能从野生,
水伊布,水,草电,1,29,储水,吐泡寶可夢,雖然棲息在水邊，但由於尾巴上有像是魚的鰭，因此有的人會把牠誤認成人魚。,受到水属的招式攻击时，不会受到伤害，而是会回復。,
雷伊布,电,地面,0.8,24.5,蓄电,雷寶可夢,會把細胞發出的微弱電流都集中起來釋放強力的電擊。,受到电属的招式攻击时，不会受到伤害，而是会回復。,
火伊布,火,水地面岩石,0.9,25,引火,火寶可夢,會將吸入的空氣送進體內的火囊轉化成１７００度的火焰後再吐出來。,受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。,
多边兽,一般,格斗,0.8,36.5,复制,虛擬寶可夢,由於是大約２０年前的科學技術創造出的寶可夢，如今許多部分已經過時了。,出场时，复制对手的特，变为与之相同的特。特下载比较对手的防御和特防，根据较低的那项能力相应地提高自己的攻击或特攻。,
菊石兽,岩石水,草电格斗地面,0.4,7.5,悠游自如,漩渦寶可夢,生活在古代海洋中的寶可夢。似乎是始祖大鳥的食物，曾被發現過帶有齒痕的化石。,天气为下雨时，速度会提高。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
多刺菊石兽,岩石水,草电格斗地面,1,35,悠游自如,漩渦寶可夢,被認為是因為身上沉重的殼而滅絕的古代寶可夢。似乎是章魚桶的遠祖。,天气为下雨时，速度会提高。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
化石盔,岩石水,草电格斗地面,0.5,11.5,悠游自如,甲殼寶可夢,３億年前十分常見的寶可夢。據說在某個地區至今仍偶爾能看見活著的化石盔。,天气为下雨时，速度会提高。特战斗盔甲被坚硬的甲壳守护着，不会被对手的攻击击中要害。,
镰刀盔,岩石水,草电格斗地面,1.3,40.5,悠游自如,甲殼寶可夢,為了在陸地上也能活動，身體開始了演化，但還來不及演化完就絕種了。,天气为下雨时，速度会提高。特战斗盔甲被坚硬的甲壳守护着，不会被对手的攻击击中要害。,
化石翼龙,岩石飞行,水电冰岩石钢,1.8,59,坚硬脑袋,化石寶可夢,由琥珀中殘留的基因還原而來。性情比想像中更加兇暴，甚至還出現了犧牲者。,即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特压迫感给予对手压迫感，大量减少其使用招式的ＰＰ。,
超级化石翼龙,岩石飞行,水电冰岩石钢,2.1,79,硬爪,化石寶可夢,會攻擊所有會動的東西。這是因為超級進化對身體造成負擔，使得牠極度煩躁不安的緣故。,接触到对手的招式威力会提高。,
卡比兽,一般,格斗,2.1,460,免疫,瞌睡寶可夢,每天不吃下４００公斤的食物絕不會善罷甘休。吃飽了就會開始睡覺。,因为体内拥有免疫能力，不会陷入中毒状态。特厚脂肪被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。,
急冻鸟,冰飞行,火电岩石钢,1.7,55.4,压迫,冰凍寶可夢,操縱冰的傳說的鳥寶可夢。因為拍動翅膀就能冷卻空氣，所以據說急凍鳥飛過的地方就會下雪。,感给予对手压迫感，大量减少其使用招式的ＰＰ。,
闪电鸟,电飞行,冰岩石,1.6,52.6,压迫,電擊寶可夢,操縱電的傳說的鳥寶可夢。平時生活在雷雲之中。被雷電擊中時體內會湧現出力量。,感给予对手压迫感，大量减少其使用招式的ＰＰ。,
火焰鸟,火飞行,水电岩石,2,60,压迫,火焰寶可夢,操縱火的傳說的鳥寶可夢。據說受傷時會鑽進火山口的熔岩裡，燃燒全身來治癒身上的傷口。,感给予对手压迫感，大量减少其使用招式的ＰＰ。,
迷你龙,龙,冰龙妖精,1.8,3.3,蜕皮,龍寶可夢,會在直瀉而下的瀑布保護下反覆蛻皮，使身體變得越來越大。,透过蜕去身上的皮，有时会治癒异常状态。,
哈克龙,龙,冰龙妖精,4,16.5,蜕皮,龍寶可夢,據說牠全身上下散發出氣場時，周圍的天氣就會在轉眼間為之一變。,透过蜕去身上的皮，有时会治癒异常状态。,
快龙,龙飞行,冰岩石龙妖精,2.2,210,精神力,龍寶可夢,在廣大海洋的某處，似乎存在著只群居著快龍的島。,靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
超梦,超能力,虫幽灵恶,2,122,压迫感,基因寶可夢,透過操作基因製造出的寶可夢。人類的科技可以造出牠的身體，卻無法造出一顆溫柔的心。,给予对手压迫感，大量减少其使用招式的ＰＰ。,
超级超梦Ｘ,超能力格斗,飞行幽灵妖精,2.3,127,不屈之心,基因寶可夢,透過操作基因製造出的寶可夢。人類的科技可以造出牠的身體，卻無法造出一顆溫柔的心。,每次畏缩时，不屈之心就会燃起，速度也会提高。,
