姓名,进化,属性,弱点,身高,体重,特征,数据
卡拉卡拉,嘎啦嘎啦,地面,水草,0.4,6.5,坚硬脑袋,孤独宝可梦因为思念死去的母亲，会在夜里大声哭叫，导致自己被天敌秃鹰娜发现。即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特避雷针将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。
嘎啦嘎啦,嘎啦嘎啦,地面,水草,1,45,坚硬脑袋,爱骨宝可梦会投掷骨头击落秃鹰娜。人们认为牠这么做是为了帮母亲报仇。即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特避雷针将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。
飞腿郎,快拳郎,格斗,飞行,1.5,49.8,柔软,踢腿宝可梦拥有卓越的平衡感。无论处于什么姿势都可以连续施展踢击的厉害角色。因为身体柔软，不会陷入麻痺状态。特舍身会让自己因反作用力而受伤的招式威力会提高。
快拳郎,战舞郎,格斗,飞行,1.4,50.2,锐利目光,拳击宝可梦使出的拳击能劈开空气。出拳的速度极为迅速，即便只是擦过都会造成灼伤。靠着锐利的目光，命中率不会被降低。特铁拳使用到拳头的招式威力会提高。
大舌头,大舌舔,一般,格斗,1.2,65.5,我行我素,舔舔宝可梦不管什么东西都会用长长的舌头去舔舔看，被舔到的部位如果放著不管就会发炎。因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。
瓦斯弹,双弹瓦斯,毒,地面,0.6,1,飘浮,毒气宝可梦身体里充满了毒气。会为了寻求厨余垃圾的腐败气味而来到垃圾场。从地面浮起，从而不会受到地面属招式的攻击。特化学变化气体当场上有特是化学变化气体的
双弹瓦斯,双弹瓦斯,毒,地面,1.2,9.5,飘浮,毒气宝可梦用２个身体来混合瓦斯。在往昔的伽勒尔似乎到处都能见到牠们的身影。从地面浮起，从而不会受到地面属招式的攻击。特化学变化气体当场上有特是化学变化气体的
独角犀牛,钻角犀兽,地面岩石,水草,1,115,避雷针,尖尖宝可梦头脑很差但力气很大，只要撞击就能把高楼大厦撞得粉粹。将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。
钻角犀兽,超甲狂犀,地面岩石,水草,1.9,120,避雷针,钻锥宝可梦进化后变得只用后脚就能站立。如果被牠的角刺中，就连岩石也会被开出洞来。将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。
吉利蛋,幸福蛋,一般,格斗,1.1,34.6,自然回复,蛋宝可梦心地很善良的宝可梦，会生出营养满分的蛋分给受伤的宝可梦和人类。异常状态会在离场后治愈。特天恩受到上天保佑，容易出现招式的追加效果。
蔓藤怪,巨蔓藤,草,火,1,35,叶绿素,藤蔓状宝可梦被敌人抓住时藤蔓会断开。因为完全不会痛，所以牠会趁那个空档逃走。藤蔓在第二天就会重新长好。天气为晴朗时，速度会提高。特叶子防守天气为晴朗时，不会陷入异常状态。
袋兽,超级袋兽,一般,格斗,2.2,80,早起,亲子宝可梦把自己的孩子放进腹部的袋子里保护，会毫不留情地狠狠教训伤害自己孩子的家伙。即使陷入睡眠状态，也能以２倍的速度提早醒来。特胆量一般属和格斗属的招式可击中幽灵属
超级袋兽,超级袋兽,一般,格斗,2.2,100,亲子爱,亲子宝可梦沐浴了爆炸性能量的孩子得到了暂时性的成长，母亲却是担心得不得了。亲子俩可合计攻击２次。
墨海马,海刺龙,水,草电,0.4,8,悠游自如,龙宝可梦吃小虫子或岩石滩上的苔藓。海流变快时，为了不让自己被冲走，会用尾巴缠住岩石或珊瑚。天气为下雨时，速度会提高。特狙击手击中要害时，威力会进一步提高。
海刺龙,刺龙王,水,草电,1.2,25,毒刺,龙宝可梦会潜伏在珊瑚枝的缝隙中睡觉。有时会发生采珊瑚时没注意到海刺龙而被毒刺扎到的事件。有时会让接触到自己的对手陷入中毒状态。特狙击手击中要害时，威力会进一步提高。
角金鱼,金鱼王,水,草电,0.6,15,悠游自如,金鱼宝可梦会优雅地摇摆背鳍、胸鳍和尾鳍，所以被称为水中的舞者。天气为下雨时，速度会提高。特水幕将水幕裹在身上，不会陷入灼伤状态。
金鱼王,金鱼王,水,草电,1.3,39,悠游,金鱼宝可梦到了秋天，体内的脂肪会因为要求偶而增加，体色也会变得非常漂亮。天气为下雨时，速度会提高。特水幕将水幕裹在身上，不会陷入灼伤状态。
海星星,宝石海星,水,草电,0.8,34.5,发光,星形宝可梦在各地都流传著星星落到海中之后变成了海星星的民间传说。透过让周围变亮，变得容易遇见野生的
宝石海星,宝石海星,水超能力,草电虫,1.1,80,发光,谜宝可梦闪耀的核心被人们称为海中宝石。有人把它变成昂贵的饰品，在暗地里偷偷买卖。透过让周围变亮，变得容易遇见野生的宝可梦。特性孢子透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。
魔墙人偶,踏冰人偶,超能力妖精,毒,54.5,1.3,隔音,屏障宝可梦有很多学者认为牠大大的手掌是因为要表演默剧而发达起来的。透过遮蔽声音，不受到声音招式的攻击。特过滤受到效果绝佳的攻击时，可减弱其威力。
飞天螳螂,巨钳螳螂,虫飞行,火电,1.5,56,虫之预感,螳螂宝可梦会用锋利的镰刀割开草丛前进。因为动作实在太快，甚至无法用肉眼看清。ＨＰ减少的时候，虫属的招式威力会提高。特技术高手可让威力低的招式提高威力来进行攻击。
迷唇姐,迷唇姐,冰超能力,火虫,1.4,40.6,迟钝,人形宝可梦会以独特的节奏扭动腰部。栖息在阿罗拉的迷唇姐动作更是特别完美无瑕。感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特预知梦出场时，预见1个对手持有的招式。
电击兽,电击怪,电,地面,1.1,30,静电,电击宝可梦全身带著电流，会不断转动手臂来充电然后使出拳击。身上带有静电，有时会令接触到的对手麻痺。
鸭嘴火兽,鸭嘴炎兽,火,水,1.3,44.5,火焰之躯,吐火宝可梦全身都在燃烧，光是呼出的气息就带著高温，打喷嚏时会同时喷出火焰。有时会让接触到自己的对手陷入灼伤状态。
凯罗斯,超级凯罗斯,虫,火,1.5,55,怪力钳,锹形虫宝可梦会和锹农炮虫争夺地盘。不知为何，在阿罗拉这里，牠和赫拉克罗斯的关系相当不错。因为拥有以力量为傲的钳子，不会被对手降低攻击。特沙隐在沙暴中闪避率会提高。
超级凯罗斯,超级凯罗斯,虫飞行,火电,1.7,59,飞行皮肤,锹形虫宝可梦超级进化之后变得可以飞行。也许是因为太开心了，牠几乎不会降落到地上。因为拥有以力量为傲的钳子，不会被对手降低攻击。特沙隐在沙暴中闪避率会提高。
肯泰罗,肯泰罗,一般,格斗,1.4,88.4,威吓,暴牛宝可梦锁定了猎物之后，就会一边用尾巴抽打身体，一边笔直地冲向目标。出场时威吓对手，使其退缩，从而降低对手的攻击。特愤怒穴位要害被击中时会大发雷霆。攻击力会提高到最大。
鲤鱼王,暴鲤龙,水,草电,0.9,10,悠游自如,鱼宝可梦没力量的可怜宝可梦。偶尔跳得比较高时，也只是勉强高过 2 公尺而已。天气为下雨时，速度会提高。
暴鲤龙,超级暴鲤龙,水飞行,电,6.5,235,威吓,凶恶宝可梦据说暴鲤龙一旦现身，如果不把周围的一切都燃烧殆尽，怒火就不会平息。出场时威吓对手，使其退缩，从而降低对手的攻击。
超级暴鲤龙,超级暴鲤龙,水恶,草电,6.5,305,破格,凶恶宝可梦超级进化对牠的身体造成了负担。对此感到压力的牠会更加凶暴地四处大闹。可不受特影响，向对手使出招式。
拉普拉斯,拉普拉斯,水冰,草电,2.5,220,储水,乘载宝可梦头脑聪慧，心地善良的宝可梦。会一边以优美的声音歌唱，一边畅游在大海之上。受到水属的招式攻击时，不会受到伤害，而是会回复。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
百变怪,百变怪,一般,格斗,0.3,4,柔软,变身宝可梦虽然可以变身得很完美，但一旦被逗笑，就会因松懈而解除变身。因为身体柔软，不会陷入麻痺状态。
伊布,水伊布,一般,格斗,0.3,6.5,逃跑,进化宝可梦为了能瞬即适应环境的变化，这种宝可梦蕴含著许多种进化的可能性。一定能从野生
水伊布,水伊布,水,草电,1,29,储水,吐泡宝可梦虽然栖息在水边，但由于尾巴上有像是鱼的鳍，因此有的人会把牠误认成人鱼。受到水属的招式攻击时，不会受到伤害，而是会回复。
雷伊布,雷伊布,电,地面,0.8,24.5,蓄电,雷宝可梦会把细胞发出的微弱电流都集中起来释放强力的电击。受到电属的招式攻击时，不会受到伤害，而是会回复。
火伊布,火伊布,火,水,0.9,25,引火,火宝可梦会将吸入的空气送进体内的火囊转化成１７００度的火焰后再吐出来。受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。
多边兽,多边兽Ⅱ,一般,格斗,0.8,36.5,复制,虚拟宝可梦由于是大约２０年前的科学技术创造出的宝可梦，如今许多部分已经过时了。出场时，复制对手的特，变为与之相同的特。特下载比较对手的防御和特防，根据较低的那项能力相应地提高自己的攻击或特攻。
菊石兽,多刺菊石兽,岩石水,草电,0.4,7.5,悠游自如,漩涡宝可梦生活在古代海洋中的宝可梦。似乎是始祖大鸟的食物，曾被发现过带有齿痕的化石。天气为下雨时，速度会提高。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
多刺菊石兽,多刺菊石兽,岩石水,草电,1,35,悠游自如,漩涡宝可梦被认为是因为身上沉重的壳而灭绝的古代宝可梦。似乎是章鱼桶的远祖。天气为下雨时，速度会提高。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
化石盔,镰刀盔,岩石水,草电,0.5,11.5,悠游自如,甲壳宝可梦３亿年前十分常见的宝可梦。据说在某个地区至今仍偶尔能看见活著的化石盔。天气为下雨时，速度会提高。特战斗盔甲被坚硬的甲壳守护着，不会被对手的攻击击中要害。
镰刀盔,镰刀盔,岩石水,草电,1.3,40.5,悠游自如,甲壳宝可梦为了在陆地上也能活动，身体开始了演化，但还来不及演化完就绝种了。天气为下雨时，速度会提高。特战斗盔甲被坚硬的甲壳守护着，不会被对手的攻击击中要害。
化石翼龙,超级化石翼龙,岩石飞行,水电,1.8,59,坚硬脑袋,化石宝可梦由琥珀中残留的基因还原而来。性情比想像中更加凶暴，甚至还出现了牺牲者。即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特压迫感给予对手压迫感，大量减少其使用招式的ＰＰ。
超级化石翼龙,超级化石翼龙,岩石飞行,水电,2.1,79,硬爪,化石宝可梦会攻击所有会动的东西。这是因为超级进化对身体造成负担，使得牠极度烦躁不安的缘故。接触到对手的招式威力会提高。
卡比兽,卡比兽,一般,格斗,2.1,460,免疫,瞌睡宝可梦每天不吃下４００公斤的食物绝不会善罢甘休。吃饱了就会开始睡觉。因为体内拥有免疫能力，不会陷入中毒状态。特厚脂肪被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。
急冻鸟,急冻鸟,冰飞行,火电,1.7,55.4,压迫,冰冻宝可梦操纵冰的传说的鸟宝可梦。因为拍动翅膀就能冷却空气，所以据说急冻鸟飞过的地方就会下雪。感给予对手压迫感，大量减少其使用招式的ＰＰ。
闪电鸟,闪电鸟,电飞行,冰,1.6,52.6,压迫,电击宝可梦操纵电的传说的鸟宝可梦。平时生活在雷云之中。被雷电击中时体内会涌现出力量。感给予对手压迫感，大量减少其使用招式的ＰＰ。
火焰鸟,火焰鸟,火飞行,水电,2,60,压迫,火焰宝可梦操纵火的传说的鸟宝可梦。据说受伤时会钻进火山口的熔岩里，燃烧全身来治愈身上的伤口。感给予对手压迫感，大量减少其使用招式的ＰＰ。
迷你龙,哈克龙,龙,冰龙,1.8,3.3,蜕皮,龙宝可梦会在直泻而下的瀑布保护下反复蜕皮，使身体变得越来越大。透过蜕去身上的皮，有时会治愈异常状态。
哈克龙,哈克龙,龙,冰龙,4,16.5,蜕皮,龙宝可梦据说牠全身上下散发出气场时，周围的天气就会在转眼间为之一变。透过蜕去身上的皮，有时会治愈异常状态。
快龙,快龙,龙飞行,冰岩,2.2,210,精神力,龙宝可梦在广大海洋的某处，似乎存在著只群居著快龙的岛。靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。
超梦,超级超梦Ｘ,超能力,虫,2,122,压迫感,基因宝可梦透过操作基因制造出的宝可梦。人类的科技可以造出牠的身体，却无法造出一颗温柔的心。给予对手压迫感，大量减少其使用招式的ＰＰ。
超级超梦Ｘ,超级超梦Ｘ,超能力格斗,飞行,2.3,127,不屈之心,基因宝可梦透过操作基因制造出的宝可梦。人类的科技可以造出牠的身体，却无法造出一颗温柔的心。每次畏缩时，不屈之心就会燃起，速度也会提高。
梦幻,超梦,超能力,虫,0.4,4,同步,新种宝可梦据说牠有著所有宝可梦的基因。因为可以随心所欲地隐形，所以就算接近人类也完全不会被察觉。将自己的中毒、麻痺或灼伤状态传染给对手。
